shape
triangle
triangle
triangle
triangle
circle
triangle
unknown
cylinder
triangle
fireball
circle
circle
triangle
triangle
triangle
triangle
triangle
triangle
triangle
triangle
triangle
circle
triangle
triangle
triangle
triangle
unknown
circle
triangle
circle
circle
circle
unknown
unknown
circle
triangle
unknown
unknown
circle
disk
circle
circle
unknown
triangle
triangle
triangle
unknown
fireball
unknown
fireball
triangle
unknown
